,a,b
0,9.38,1.0
1,10.68,0.54
2,9.69,0.09
3,9.0,0.97
4,10.47,0.45
5,6.47,0.36
6,7.81,0.04
7,7.82,0.35
8,9.39,0.6
9,9.05,0.25
10,9.6,3.87
11,10.71,40.71
12,11.38,1.88
13,10.82,4.51
14,8.87,48.55
15,11.2,2.5
16,9.67,26.74
17,13.2,0.15
18,11.36,0.75
19,10.03,15.86
20,9.82,4.21
21,8.04,1.07
22,10.24,7.07
23,7.73,2.25
24,10.7,3.0
25,6.28,0.47
26,7.67,1.56
27,12.85,2.01
28,12.99,0.35
29,12.58,0.01
30,6.38,0.84
31,7.0,186.71
32,7.1,0.0
33,6.61,0.14
34,10.45,0.62
35,9.02,1.77
36,10.0,11.11
37,9.02,9.21
38,8.41,16.07
39,14.1,19.29
40,11.21,0.25
41,8.0,0.89
42,12.43,0.34
43,8.66,2.53
44,9.45,0.45
45,12.83,0.14
46,8.43,59.37
47,9.5,0.73
48,9.38,0.26
49,13.46,5.79
50,13.96,0.08
51,10.44,0.34
52,13.79,0.22
53,7.26,0.01
54,9.62,0.0
55,12.57,0.88
56,9.51,0.25
57,10.69,0.24
58,10.45,5.15
59,11.36,0.15
60,10.5,36.87
61,7.04,0.03
62,9.23,0.0
63,8.53,0.62
64,11.17,2.33
65,6.53,34.3
66,8.35,0.35
67,12.37,0.45
68,10.71,0.7
69,14.89,172.16
70,9.93,0.02
71,4.58,2.06
72,11.98,0.95
73,10.38,0.13
74,9.29,0.44
75,7.32,1.26
76,9.62,0.16
77,11.19,1.0
78,10.68,4.11
79,10.17,4.94
80,11.21,0.37
81,10.34,0.55
82,7.92,1.08
83,10.57,6.09
84,11.0,1.42
85,13.87,13.12
86,10.1,2.92
87,7.9,0.03
88,12.33,8.84
89,11.47,0.25
90,8.87,3.14
91,7.57,0.98
92,13.1,7.17
93,6.6,1.1
94,8.74,1.35
95,10.57,0.03
96,7.9,18.43
97,9.63,1.05
98,11.0,0.43
99,9.19,15.42
100,7.43,3.31
101,8.77,1.67
102,9.78,2.78
103,12.27,1.14
104,7.93,0.1
105,13.02,0.07
106,8.26,7.1
107,12.78,9.46
108,14.35,3.16
109,12.6,1.93
110,9.62,7.91
111,13.34,11.7
112,12.31,2.46
113,10.96,8.4
114,9.64,6.57
115,9.23,0.32
116,9.74,5.66
117,14.72,0.11
118,11.03,0.01
119,10.88,4.26
120,9.05,0.42
121,10.66,62.36
122,9.43,0.07
123,8.56,7.39
124,10.18,0.6
125,9.05,1.78
126,10.26,0.1
127,9.79,166.48
128,8.59,0.55
129,11.03,75.61
130,11.16,0.84
131,4.36,0.07
132,9.5,0.18
133,9.65,16.57
134,9.49,0.29
135,12.54,1.19
136,10.16,19.56
137,9.16,10.02
138,8.47,0.11
139,11.26,0.54
140,6.75,27.7
141,9.37,0.31
142,8.77,7.74
143,9.2,1.57
144,9.36,0.07
145,7.64,1.91
146,7.65,0.28
147,9.9,1.3
148,8.31,0.19
149,12.83,3.94
150,10.67,0.88
151,7.77,7.0
152,11.03,0.1
153,9.54,0.69
154,10.47,9.67
155,13.08,13.95
156,11.84,8.78
157,8.17,6.25
158,11.0,0.21
159,9.14,2.55
160,12.05,3.96
161,9.94,1.75
162,6.81,4.51
163,3.07,0.39
164,8.64,5.42
165,8.34,0.57
166,8.42,0.17
167,14.35,0.04
168,10.23,10.58
169,11.74,0.08
170,8.1,0.11
171,11.31,0.04
172,8.89,77.6
173,6.86,56.02
174,9.35,0.18
175,9.89,0.02
176,7.83,0.19
177,12.86,0.25
178,10.1,0.35
179,6.91,2.22
180,5.09,0.11
181,11.52,0.75
182,11.58,2.27
183,11.28,2.13
184,8.15,2.07
185,8.2,0.28
186,11.17,0.67
187,9.18,4.44
188,10.01,0.06
189,11.36,7.36
190,12.25,0.38
191,8.47,7.27
192,9.7,0.02
193,10.54,2.5
194,8.79,0.3
195,11.96,9.77
196,7.93,0.77
197,10.95,0.11
198,9.16,5.92
199,12.58,0.16
200,10.29,0.08
201,8.75,0.11
202,9.46,0.14
203,7.51,0.17
204,11.45,0.21
205,9.72,6.21
206,9.59,7.52
207,10.94,12.8
